filepaths,labels,data set
train/Afghan/001.jpg,Afghan,train
train/Afghan/002.jpg,Afghan,train
train/Afghan/003.jpg,Afghan,train
train/Afghan/004.jpg,Afghan,train
train/Afghan/005.jpg,Afghan,train
train/Afghan/006.jpg,Afghan,train
train/Afghan/007.jpg,Afghan,train
train/Afghan/008.jpg,Afghan,train
train/Afghan/009.jpg,Afghan,train
train/Afghan/010.jpg,Afghan,train
train/Afghan/011.jpg,Afghan,train
train/Afghan/012.jpg,Afghan,train
train/Afghan/013.jpg,Afghan,train
train/Afghan/014.jpg,Afghan,train
train/Afghan/015.jpg,Afghan,train
train/Afghan/016.jpg,Afghan,train
train/Afghan/017.jpg,Afghan,train
train/Afghan/018.jpg,Afghan,train
train/Afghan/019.jpg,Afghan,train
train/Afghan/020.jpg,Afghan,train
train/Afghan/021.jpg,Afghan,train
train/Afghan/022.jpg,Afghan,train
train/Afghan/023.jpg,Afghan,train
train/Afghan/024.jpg,Afghan,train
train/Afghan/025.jpg,Afghan,train
train/Afghan/026.jpg,Afghan,train
train/Afghan/027.jpg,Afghan,train
train/Afghan/028.jpg,Afghan,train
train/Afghan/029.jpg,Afghan,train
train/Afghan/030.jpg,Afghan,train
train/Afghan/031.jpg,Afghan,train
train/Afghan/032.jpg,Afghan,train
train/Afghan/033.jpg,Afghan,train
train/Afghan/034.jpg,Afghan,train
train/Afghan/035.jpg,Afghan,train
train/Afghan/036.jpg,Afghan,train
train/Afghan/037.jpg,Afghan,train
train/Afghan/038.jpg,Afghan,train
train/Afghan/039.jpg,Afghan,train
train/Afghan/040.jpg,Afghan,train
train/Afghan/041.jpg,Afghan,train
train/Afghan/042.jpg,Afghan,train
train/Afghan/043.jpg,Afghan,train
train/Afghan/044.jpg,Afghan,train
train/Afghan/045.jpg,Afghan,train
train/Afghan/046.jpg,Afghan,train
train/Afghan/047.jpg,Afghan,train
train/Afghan/048.jpg,Afghan,train
train/Afghan/049.jpg,Afghan,train
train/Afghan/050.jpg,Afghan,train
train/Afghan/051.jpg,Afghan,train
train/Afghan/052.jpg,Afghan,train
train/Afghan/053.jpg,Afghan,train
train/Afghan/054.jpg,Afghan,train
train/Afghan/055.jpg,Afghan,train
train/Afghan/056.jpg,Afghan,train
train/Afghan/057.jpg,Afghan,train
train/Afghan/058.jpg,Afghan,train
train/Afghan/059.jpg,Afghan,train
train/Afghan/060.jpg,Afghan,train
train/Afghan/061.jpg,Afghan,train
train/Afghan/062.jpg,Afghan,train
train/Afghan/063.jpg,Afghan,train
train/Afghan/064.jpg,Afghan,train
train/Afghan/065.jpg,Afghan,train
train/Afghan/066.jpg,Afghan,train
train/Afghan/067.jpg,Afghan,train
train/Afghan/068.jpg,Afghan,train
train/Afghan/069.jpg,Afghan,train
train/Afghan/070.jpg,Afghan,train
train/Afghan/071.jpg,Afghan,train
train/Afghan/072.jpg,Afghan,train
train/Afghan/073.jpg,Afghan,train
train/Afghan/074.jpg,Afghan,train
train/Afghan/075.jpg,Afghan,train
train/Afghan/076.jpg,Afghan,train
train/Afghan/077.jpg,Afghan,train
train/Afghan/078.jpg,Afghan,train
train/Afghan/079.jpg,Afghan,train
train/Afghan/080.jpg,Afghan,train
train/Afghan/081.jpg,Afghan,train
train/Afghan/082.jpg,Afghan,train
train/Afghan/083.jpg,Afghan,train
train/Afghan/084.jpg,Afghan,train
train/Afghan/085.jpg,Afghan,train
train/Afghan/086.jpg,Afghan,train
train/Afghan/087.jpg,Afghan,train
train/Afghan/088.jpg,Afghan,train
train/Afghan/089.jpg,Afghan,train
train/Afghan/090.jpg,Afghan,train
train/Afghan/091.jpg,Afghan,train
train/Afghan/092.jpg,Afghan,train
train/Afghan/093.jpg,Afghan,train
train/Afghan/094.jpg,Afghan,train
train/Afghan/095.jpg,Afghan,train
train/Afghan/096.jpg,Afghan,train
train/Afghan/097.jpg,Afghan,train
train/Afghan/098.jpg,Afghan,train
train/Afghan/099.jpg,Afghan,train
train/Afghan/100.jpg,Afghan,train
train/Afghan/101.jpg,Afghan,train
train/Afghan/102.jpg,Afghan,train
train/Afghan/103.jpg,Afghan,train
train/Afghan/104.jpg,Afghan,train
train/Afghan/105.jpg,Afghan,train
train/African Wild Dog/001.jpg,African Wild Dog,train
train/African Wild Dog/002.jpg,African Wild Dog,train
train/African Wild Dog/003.jpg,African Wild Dog,train
train/African Wild Dog/004.jpg,African Wild Dog,train
train/African Wild Dog/005.jpg,African Wild Dog,train
train/African Wild Dog/006.jpg,African Wild Dog,train
train/African Wild Dog/007.jpg,African Wild Dog,train
train/African Wild Dog/008.jpg,African Wild Dog,train
train/African Wild Dog/009.jpg,African Wild Dog,train
train/African Wild Dog/010.jpg,African Wild Dog,train
train/African Wild Dog/011.jpg,African Wild Dog,train
train/African Wild Dog/012.jpg,African Wild Dog,train
train/African Wild Dog/013.jpg,African Wild Dog,train
train/African Wild Dog/014.jpg,African Wild Dog,train
train/African Wild Dog/015.jpg,African Wild Dog,train
train/African Wild Dog/016.jpg,African Wild Dog,train
train/African Wild Dog/017.jpg,African Wild Dog,train
train/African Wild Dog/018.jpg,African Wild Dog,train
train/African Wild Dog/019.jpg,African Wild Dog,train
train/African Wild Dog/020.jpg,African Wild Dog,train
train/African Wild Dog/021.jpg,African Wild Dog,train
train/African Wild Dog/022.jpg,African Wild Dog,train
train/African Wild Dog/023.jpg,African Wild Dog,train
train/African Wild Dog/024.jpg,African Wild Dog,train
train/African Wild Dog/025.jpg,African Wild Dog,train
train/African Wild Dog/026.jpg,African Wild Dog,train
train/African Wild Dog/027.jpg,African Wild Dog,train
train/African Wild Dog/028.jpg,African Wild Dog,train
train/African Wild Dog/029.jpg,African Wild Dog,train
train/African Wild Dog/030.jpg,African Wild Dog,train
train/African Wild Dog/031.jpg,African Wild Dog,train
train/African Wild Dog/032.jpg,African Wild Dog,train
train/African Wild Dog/033.jpg,African Wild Dog,train
train/African Wild Dog/034.jpg,African Wild Dog,train
train/African Wild Dog/035.jpg,African Wild Dog,train
train/African Wild Dog/036.jpg,African Wild Dog,train
train/African Wild Dog/037.jpg,African Wild Dog,train
train/African Wild Dog/038.jpg,African Wild Dog,train
train/African Wild Dog/039.jpg,African Wild Dog,train
train/African Wild Dog/040.jpg,African Wild Dog,train
train/African Wild Dog/041.jpg,African Wild Dog,train
train/African Wild Dog/042.jpg,African Wild Dog,train
train/African Wild Dog/043.jpg,African Wild Dog,train
train/African Wild Dog/044.jpg,African Wild Dog,train
train/African Wild Dog/045.jpg,African Wild Dog,train
train/African Wild Dog/046.jpg,African Wild Dog,train
train/African Wild Dog/047.jpg,African Wild Dog,train
train/African Wild Dog/048.jpg,African Wild Dog,train
train/African Wild Dog/049.jpg,African Wild Dog,train
train/African Wild Dog/050.jpg,African Wild Dog,train
train/African Wild Dog/051.jpg,African Wild Dog,train
train/African Wild Dog/052.jpg,African Wild Dog,train
train/African Wild Dog/053.jpg,African Wild Dog,train
train/African Wild Dog/054.jpg,African Wild Dog,train
train/African Wild Dog/055.jpg,African Wild Dog,train
train/African Wild Dog/056.jpg,African Wild Dog,train
train/African Wild Dog/057.jpg,African Wild Dog,train
train/African Wild Dog/058.jpg,African Wild Dog,train
train/African Wild Dog/059.jpg,African Wild Dog,train
train/African Wild Dog/060.jpg,African Wild Dog,train
train/African Wild Dog/061.jpg,African Wild Dog,train
train/African Wild Dog/062.jpg,African Wild Dog,train
train/African Wild Dog/063.jpg,African Wild Dog,train
train/African Wild Dog/064.jpg,African Wild Dog,train
train/African Wild Dog/065.jpg,African Wild Dog,train
train/African Wild Dog/066.jpg,African Wild Dog,train
train/African Wild Dog/067.jpg,African Wild Dog,train
train/African Wild Dog/068.jpg,African Wild Dog,train
train/African Wild Dog/069.jpg,African Wild Dog,train
train/African Wild Dog/070.jpg,African Wild Dog,train
train/African Wild Dog/071.jpg,African Wild Dog,train
train/African Wild Dog/072.jpg,African Wild Dog,train
train/African Wild Dog/073.jpg,African Wild Dog,train
train/African Wild Dog/074.jpg,African Wild Dog,train
train/African Wild Dog/075.jpg,African Wild Dog,train
train/African Wild Dog/076.jpg,African Wild Dog,train
train/African Wild Dog/077.jpg,African Wild Dog,train
train/African Wild Dog/078.jpg,African Wild Dog,train
train/African Wild Dog/079.jpg,African Wild Dog,train
train/African Wild Dog/080.jpg,African Wild Dog,train
train/African Wild Dog/081.jpg,African Wild Dog,train
train/African Wild Dog/082.jpg,African Wild Dog,train
train/African Wild Dog/083.jpg,African Wild Dog,train
train/African Wild Dog/084.jpg,African Wild Dog,train
train/African Wild Dog/085.jpg,African Wild Dog,train
train/African Wild Dog/086.jpg,African Wild Dog,train
train/African Wild Dog/087.jpg,African Wild Dog,train
train/African Wild Dog/088.jpg,African Wild Dog,train
train/African Wild Dog/089.jpg,African Wild Dog,train
train/African Wild Dog/090.jpg,African Wild Dog,train
train/African Wild Dog/091.jpg,African Wild Dog,train
train/African Wild Dog/092.jpg,African Wild Dog,train
train/African Wild Dog/093.jpg,African Wild Dog,train
train/African Wild Dog/094.jpg,African Wild Dog,train
train/African Wild Dog/095.jpg,African Wild Dog,train
train/African Wild Dog/096.jpg,African Wild Dog,train
